time,src,dst,protocol,alert
19:29:11,20.207.73.82,192.168.29.110,6,
19:29:11,192.168.29.110,20.207.73.82,6,
19:29:11,20.207.73.82,192.168.29.110,6,
19:29:11,192.168.29.110,20.207.73.85,6,
19:29:11,192.168.29.110,20.207.73.85,6,
19:29:11,192.168.29.110,20.207.73.85,6,
19:29:11,192.168.29.110,140.82.112.21,6,
19:29:11,192.168.29.110,140.82.112.21,6,
19:29:11,192.168.29.110,140.82.112.21,6,
19:29:11,192.168.29.110,140.82.112.21,6,
19:29:11,192.168.29.110,140.82.112.21,6,
19:29:11,192.168.29.110,140.82.112.21,6,
19:29:11,20.207.73.85,192.168.29.110,6,
19:29:11,192.168.29.110,20.207.73.85,6,
19:29:11,20.207.73.85,192.168.29.110,6,
19:29:11,140.82.112.21,192.168.29.110,6,
19:29:12,140.82.112.21,192.168.29.110,6,
19:29:12,140.82.112.21,192.168.29.110,6,
19:29:12,140.82.112.21,192.168.29.110,6,
19:29:12,140.82.112.21,192.168.29.110,6,
19:29:12,140.82.112.21,192.168.29.110,6,
19:29:12,140.82.112.21,192.168.29.110,6,
19:29:12,192.168.29.110,140.82.112.21,6,
19:29:12,192.168.29.110,20.207.73.85,6,
19:29:12,192.168.29.110,18.67.195.155,6,
19:29:12,18.67.195.155,192.168.29.110,6,
19:29:12,192.168.29.110,18.67.195.155,6,
19:29:12,192.168.29.110,18.67.195.155,6,
19:29:12,192.168.29.110,18.67.195.155,6,
19:29:12,18.67.195.155,192.168.29.110,6,
19:29:12,18.67.195.155,192.168.29.110,6,
19:29:12,192.168.29.110,18.67.195.155,6,
19:29:12,192.168.29.110,18.67.195.155,6,
19:29:12,192.168.29.110,18.67.195.155,6,
19:29:12,192.168.29.110,140.82.112.21,6,
19:29:12,192.168.29.110,140.82.112.21,6,
19:29:12,192.168.29.110,140.82.112.21,6,
19:29:12,192.168.29.110,140.82.112.21,6,
19:29:12,192.168.29.110,140.82.112.21,6,
19:29:12,18.67.195.155,192.168.29.110,6,
19:29:12,18.67.195.155,192.168.29.110,6,
19:29:12,18.67.195.155,192.168.29.110,6,
19:29:12,18.67.195.155,192.168.29.110,6,
19:29:12,192.168.29.110,18.67.195.155,6,
19:29:13,18.67.195.155,192.168.29.110,6,
19:29:13,192.168.29.110,18.67.195.155,6,
19:29:13,18.67.195.155,192.168.29.110,6,
19:29:13,192.168.29.110,18.67.195.155,6,
19:29:13,18.67.195.155,192.168.29.110,6,
19:29:13,192.168.29.110,34.208.116.103,6,
19:29:13,140.82.112.21,192.168.29.110,6,
19:29:13,140.82.112.21,192.168.29.110,6,
19:29:13,140.82.112.21,192.168.29.110,6,
19:29:13,140.82.112.21,192.168.29.110,6,
19:29:13,192.168.29.110,140.82.112.21,6,
19:29:13,192.168.29.110,170.72.239.201,6,
19:29:13,192.168.29.110,34.208.116.103,6,
19:29:13,34.208.116.103,192.168.29.110,6,
19:29:13,192.168.29.110,34.208.116.103,6,
19:29:13,192.168.29.110,34.208.116.103,6,
19:29:13,192.168.29.110,34.208.116.103,6,
19:29:13,192.168.29.110,34.208.116.103,6,
19:29:13,192.168.29.110,34.208.116.103,6,
19:29:13,192.168.29.110,34.208.116.103,6,
19:29:13,170.72.239.201,192.168.29.110,6,
19:29:13,170.72.239.201,192.168.29.110,6,
19:29:13,192.168.29.110,170.72.239.201,6,
19:29:13,34.208.116.103,192.168.29.110,6,
19:29:13,192.168.29.110,34.208.116.103,6,
19:29:13,192.168.29.110,34.208.116.103,6,
19:29:13,192.168.29.110,34.208.116.103,6,
19:29:14,34.208.116.103,192.168.29.110,6,
19:29:14,34.208.116.103,192.168.29.110,6,
19:29:14,34.208.116.103,192.168.29.110,6,
19:29:14,192.168.29.110,34.208.116.103,6,
19:29:14,34.208.116.103,192.168.29.110,6,
19:29:14,34.208.116.103,192.168.29.110,6,
19:29:14,192.168.29.110,34.208.116.103,6,
19:29:14,192.168.29.110,34.208.116.103,6,
19:29:14,192.168.29.110,34.208.116.103,6,
19:29:14,192.168.29.110,34.208.116.103,6,
19:29:14,192.168.29.110,34.208.116.103,6,
19:29:14,192.168.29.110,34.208.116.103,6,
19:29:14,192.168.29.110,34.208.116.103,6,
19:29:14,192.168.29.110,34.208.116.103,6,
19:29:14,192.168.29.110,34.208.116.103,6,
19:29:14,192.168.29.110,34.208.116.103,6,
19:29:14,192.168.29.110,34.208.116.103,6,
19:29:14,192.168.29.110,34.208.116.103,6,
19:29:14,34.208.116.103,192.168.29.110,6,
19:29:14,192.168.29.110,34.208.116.103,6,
19:29:14,192.168.29.110,34.208.116.103,6,
19:29:14,192.168.29.110,34.208.116.103,6,
19:29:14,34.208.116.103,192.168.29.110,6,
19:29:14,34.208.116.103,192.168.29.110,6,
19:29:14,34.208.116.103,192.168.29.110,6,
19:29:14,34.208.116.103,192.168.29.110,6,
19:29:14,34.208.116.103,192.168.29.110,6,
19:29:14,34.208.116.103,192.168.29.110,6,
19:29:15,34.208.116.103,192.168.29.110,6,
19:29:15,34.208.116.103,192.168.29.110,6,
19:29:15,34.208.116.103,192.168.29.110,6,
19:29:15,34.208.116.103,192.168.29.110,6,
19:29:15,34.208.116.103,192.168.29.110,6,
19:29:15,192.168.29.110,34.208.116.103,6,
19:29:15,192.168.29.110,34.208.116.103,6,
19:29:15,34.208.116.103,192.168.29.110,6,
19:29:15,34.208.116.103,192.168.29.110,6,
19:29:15,34.208.116.103,192.168.29.110,6,
19:29:15,34.208.116.103,192.168.29.110,6,
19:29:15,34.208.116.103,192.168.29.110,6,
19:29:15,34.208.116.103,192.168.29.110,6,
19:29:15,34.208.116.103,192.168.29.110,6,
19:29:15,34.208.116.103,192.168.29.110,6,
19:29:15,34.208.116.103,192.168.29.110,6,
19:29:15,34.208.116.103,192.168.29.110,6,
19:29:15,34.208.116.103,192.168.29.110,6,
19:29:15,34.208.116.103,192.168.29.110,6,
19:29:15,34.208.116.103,192.168.29.110,6,
19:29:15,34.208.116.103,192.168.29.110,6,
19:29:15,34.208.116.103,192.168.29.110,6,
19:29:15,192.168.29.110,34.208.116.103,6,
19:29:15,192.168.29.110,34.208.116.103,6,
19:29:15,192.168.29.110,34.208.116.103,6,
19:29:15,192.168.29.110,34.208.116.103,6,
19:29:15,192.168.29.110,34.208.116.103,6,
19:29:15,192.168.29.110,34.208.116.103,6,
19:29:15,34.208.116.103,192.168.29.110,6,
19:29:16,34.208.116.103,192.168.29.110,6,
19:29:16,34.208.116.103,192.168.29.110,6,
19:29:16,34.208.116.103,192.168.29.110,6,
19:29:16,192.168.29.110,34.208.116.103,6,
19:29:16,192.168.29.110,20.189.173.5,6,
19:29:16,192.168.29.110,20.189.173.5,6,
19:29:16,192.168.29.110,20.189.173.5,6,
19:29:16,34.208.116.103,192.168.29.110,6,
19:29:16,192.168.29.110,34.208.116.103,6,
19:29:16,34.208.116.103,192.168.29.110,6,
19:29:16,34.208.116.103,192.168.29.110,6,
19:29:16,34.208.116.103,192.168.29.110,6,
19:29:16,34.208.116.103,192.168.29.110,6,
19:29:16,192.168.29.110,34.208.116.103,6,
19:29:16,20.189.173.5,192.168.29.110,6,
19:29:16,20.189.173.5,192.168.29.110,6,
19:29:16,192.168.29.110,20.189.173.5,6,
19:29:16,34.208.116.103,192.168.29.110,6,
19:29:16,34.208.116.103,192.168.29.110,6,
19:29:16,20.189.173.5,192.168.29.110,6,
19:29:16,192.168.29.110,34.208.116.103,6,
19:29:16,192.168.29.110,34.208.116.103,6,
19:29:16,192.168.29.110,34.208.116.103,6,
19:29:16,192.168.29.110,34.208.116.103,6,
19:29:16,192.168.29.110,34.208.116.103,6,
19:29:16,192.168.29.110,34.208.116.103,6,
19:29:16,192.168.29.110,34.208.116.103,6,
19:29:16,34.208.116.103,192.168.29.110,6,
19:29:16,34.208.116.103,192.168.29.110,6,
19:29:16,34.208.116.103,192.168.29.110,6,
19:29:17,192.168.29.110,34.208.116.103,6,
19:29:17,34.208.116.103,192.168.29.110,6,
19:29:17,34.208.116.103,192.168.29.110,6,
19:29:17,34.208.116.103,192.168.29.110,6,
19:29:17,192.168.29.110,34.208.116.103,6,
19:29:17,34.208.116.103,192.168.29.110,6,
19:29:17,34.208.116.103,192.168.29.110,6,
19:29:17,192.168.29.110,34.208.116.103,6,
19:29:17,34.208.116.103,192.168.29.110,6,
19:29:17,34.208.116.103,192.168.29.110,6,
19:29:17,192.168.29.1,224.0.0.1,2,
19:29:17,192.168.29.110,185.199.109.154,6,
19:29:17,192.168.29.110,13.203.1.146,6,
19:29:17,185.199.109.154,192.168.29.110,6,
19:29:17,13.203.1.146,192.168.29.110,6,
19:29:17,192.168.29.110,13.89.179.11,6,
19:29:17,192.168.29.110,185.199.109.154,6,
19:29:17,185.199.109.154,192.168.29.110,6,
19:29:17,192.168.29.110,224.0.0.22,2,
19:29:17,13.89.179.11,192.168.29.110,6,
19:29:17,192.168.29.110,13.89.179.11,6,
19:29:17,192.168.29.110,13.89.179.11,6,
19:29:17,13.89.179.11,192.168.29.110,6,
19:29:17,192.168.29.110,13.89.179.11,6,
19:29:17,192.168.29.110,185.199.109.154,6,
19:29:17,185.199.109.154,192.168.29.110,6,
19:29:17,34.208.116.103,192.168.29.110,6,
